rawName,canonicalName,confidenceScore,algorithm,timestamp
Weaviate Labs #51,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001673Z
Qdrant PBC Labs #52,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001696Z
Chroma Labs #53,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001715Z
LangChain Labs #54,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001737Z
LLAMAINDEX AI Labs #55,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001762Z
"Weights & Biases, Inc. Labs #56","Weights & Biases, Inc. Labs #56",0.75,Normalized Capitalization,2026-08-16T15:06:54.001796Z
Replicate Labs #57,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001817Z
EleutherAI Labs #58,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001837Z
Groq Labs #59,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001859Z
SambaNova Labs #60,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001878Z
Cerebras Systems Labs #61,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001900Z
Etched Labs #62,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001923Z
"Cognition AI, Inc. Labs #63",Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001949Z
Harvey AI Labs #64,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001973Z
Synthesia PBC Labs #65,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001998Z
ELEVENLABS AI Labs #66,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002023Z
OpenAI Labs #67,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002038Z
Anthropic Labs #68,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002053Z
Cohere Labs #69,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002068Z
"Mistral AI, Inc. Labs #70",Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002086Z
Stability AI Labs #71,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002102Z
Hugging Face Labs #72,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002123Z
Midjourney Labs #73,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002140Z
Runway Labs #74,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002155Z
Scale AI Labs #75,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002171Z
Perplexity AI Labs #76,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002188Z
"Glean, Inc. Labs #77",Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002206Z
Adept AI PBC Labs #78,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002242Z
Character.ai Labs #79,Character.ai Labs #79,0.75,Normalized Capitalization,2026-08-16T15:06:54.002270Z
Together AI Labs #80,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002288Z
Anyscale Labs #81,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002306Z
Inflection AI Labs #82,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002324Z
Pinecone Labs #83,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002342Z
"Weaviate, Inc. Labs #84",Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002361Z
Qdrant Labs #85,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002377Z
Chroma Labs #86,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002394Z
LangChain Labs #87,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002412Z
LLAMAINDEX AI Labs #88,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002432Z
Weights & Biases Labs #89,Weights & Biases Labs #89,0.75,Normalized Capitalization,2026-08-16T15:06:54.002462Z
Replicate Labs #90,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002483Z
"EleutherAI, Inc. Labs #91",EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002504Z
Groq Labs #92,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002524Z
SambaNova Labs #93,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002545Z
Cerebras Systems Labs #94,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002567Z
Etched Labs #95,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002585Z
Cognition AI Labs #96,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002604Z
Harvey AI Labs #97,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002625Z
"Synthesia, Inc. Labs #98",Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002644Z
ELEVENLABS AI Labs #99,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002664Z
OpenAI Labs #100,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002678Z
Anthropic Labs #101,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002693Z
Cohere Labs #102,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002706Z
Mistral AI Labs #103,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002722Z
Stability AI PBC Labs #104,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002739Z
"Hugging Face, Inc. Labs #105",Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002760Z
Midjourney Labs #106,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002774Z
Runway Labs #107,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002789Z
Scale AI Labs #108,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002805Z
Perplexity AI Labs #109,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002822Z
GLEAN AI Labs #110,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002838Z
Adept AI Labs #111,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002853Z
"Character.ai, Inc. Labs #112","Character.ai, Inc. Labs #112",0.75,Normalized Capitalization,2026-08-16T15:06:54.002878Z
Together AI Labs #113,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002896Z
Anyscale Labs #114,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002913Z
Inflection AI Labs #115,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002933Z
Pinecone Labs #116,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002950Z
Weaviate PBC Labs #117,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002968Z
Qdrant Labs #118,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.002984Z
"Chroma, Inc. Labs #119",Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003003Z
LangChain Labs #120,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003019Z
LLAMAINDEX AI Labs #121,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003040Z
Weights & Biases Labs #122,Weights & Biases Labs #122,0.75,Normalized Capitalization,2026-08-16T15:06:54.003067Z
Replicate Labs #123,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003083Z
EleutherAI Labs #124,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003100Z
Groq Labs #125,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003118Z
"SambaNova, Inc. Labs #126",SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003137Z
Cerebras Systems Labs #127,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003168Z
Etched Labs #128,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003200Z
Cognition AI Labs #129,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003242Z
Harvey AI PBC Labs #130,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003276Z
Synthesia Labs #131,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003296Z
ELEVENLABS AI Labs #132,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003319Z
"OpenAI, Inc. Labs #133",OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003336Z
Anthropic Labs #134,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003352Z
Cohere Labs #135,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003365Z
Mistral AI Labs #136,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003380Z
Stability AI Labs #137,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003396Z
Hugging Face Labs #138,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003412Z
Midjourney Labs #139,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003427Z
"Runway, Inc. Labs #140",Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003455Z
Scale AI Labs #141,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003470Z
Perplexity AI Labs #142,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003486Z
GLEAN AI Labs #143,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003501Z
Adept AI Labs #144,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003516Z
Character.ai Labs #145,Character.ai Labs #145,0.75,Normalized Capitalization,2026-08-16T15:06:54.003539Z
Together AI Labs #146,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003556Z
"Anyscale, Inc. Labs #147",Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003573Z
Inflection AI Labs #148,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003597Z
Pinecone Labs #149,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003626Z
Weaviate Labs #150,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003657Z
Qdrant Labs #151,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003686Z
Chroma Labs #152,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003704Z
LangChain Labs #153,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003721Z
"LlamaIndex, Inc. Labs #154",LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003740Z
Weights & Biases Labs #155,Weights & Biases Labs #155,0.75,Normalized Capitalization,2026-08-16T15:06:54.003764Z
Replicate PBC Labs #156,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003783Z
EleutherAI Labs #157,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003800Z
Groq Labs #158,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003816Z
SambaNova Labs #159,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003833Z
Cerebras Systems Labs #160,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003852Z
"Etched, Inc. Labs #161",Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003872Z
Cognition AI Labs #162,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003891Z
Harvey AI Labs #163,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003909Z
Synthesia Labs #164,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003927Z
ELEVENLABS AI Labs #165,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003946Z
OpenAI Labs #166,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003959Z
Anthropic Labs #167,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003972Z
"Cohere, Inc. Labs #168",Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.003989Z
Mistral AI PBC Labs #169,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004010Z
Stability AI Labs #170,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004024Z
Hugging Face Labs #171,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004039Z
Midjourney Labs #172,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004053Z
Runway Labs #173,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004068Z
Scale AI Labs #174,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004085Z
"Perplexity AI, Inc. Labs #175",Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004113Z
GLEAN AI Labs #176,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004143Z
Adept AI Labs #177,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004171Z
Character.ai Labs #178,Character.ai Labs #178,0.75,Normalized Capitalization,2026-08-16T15:06:54.004201Z
Together AI Labs #179,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004221Z
Anyscale Labs #180,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004248Z
Inflection AI Labs #181,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004266Z
"Pinecone, Inc. Labs #182",Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004284Z
Weaviate Labs #183,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004299Z
Qdrant Labs #184,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004315Z
Chroma Labs #185,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004331Z
LangChain Labs #186,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004347Z
LLAMAINDEX AI Labs #187,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004364Z
Weights & Biases Labs #188,Weights & Biases Labs #188,0.75,Normalized Capitalization,2026-08-16T15:06:54.004388Z
"Replicate, Inc. Labs #189",Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004407Z
EleutherAI Labs #190,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004425Z
Groq Labs #191,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004442Z
SambaNova Labs #192,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004460Z
Cerebras Systems Labs #193,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004483Z
Etched Labs #194,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004500Z
Cognition AI PBC Labs #195,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004520Z
"Harvey AI, Inc. Labs #196",Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004541Z
Synthesia Labs #197,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004559Z
ELEVENLABS AI Labs #198,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004578Z
OpenAI Labs #199,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004591Z
Anthropic Labs #200,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004605Z
Cohere Labs #201,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004619Z
Mistral AI Labs #202,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004635Z
"Stability AI, Inc. Labs #203",Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004652Z
Hugging Face Labs #204,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004673Z
Midjourney Labs #205,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004704Z
Runway Labs #206,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004730Z
Scale AI Labs #207,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004760Z
Perplexity AI PBC Labs #208,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004780Z
GLEAN AI Labs #209,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004796Z
"Adept AI, Inc. Labs #210",Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004814Z
Character.ai Labs #211,Character.ai Labs #211,0.75,Normalized Capitalization,2026-08-16T15:06:54.004836Z
Together AI Labs #212,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004853Z
Anyscale Labs #213,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004867Z
Inflection AI Labs #214,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004884Z
Pinecone Labs #215,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004901Z
Weaviate Labs #216,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004918Z
"Qdrant, Inc. Labs #217",Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004936Z
Chroma Labs #218,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004952Z
LangChain Labs #219,LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004968Z
LLAMAINDEX AI Labs #220,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.004985Z
Weights & Biases PBC Labs #221,Weights & Biases Pbc Labs #221,0.75,Normalized Capitalization,2026-08-16T15:06:54.005010Z
Replicate Labs #222,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005027Z
EleutherAI Labs #223,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005046Z
"Groq, Inc. Labs #224",Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005067Z
SambaNova Labs #225,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005084Z
Cerebras Systems Labs #226,Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005105Z
Etched Labs #227,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005126Z
Cognition AI Labs #228,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005145Z
Harvey AI Labs #229,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005164Z
Synthesia Labs #230,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005182Z
"ElevenLabs, Inc. Labs #231",ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005202Z
OpenAI Labs #232,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005218Z
Anthropic Labs #233,Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005232Z
Cohere PBC Labs #234,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005249Z
Mistral AI Labs #235,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005263Z
Stability AI Labs #236,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005278Z
Hugging Face Labs #237,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005294Z
"Midjourney, Inc. Labs #238",Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005312Z
Runway Labs #239,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005326Z
Scale AI Labs #240,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005345Z
Perplexity AI Labs #241,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005360Z
GLEAN AI Labs #242,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005376Z
Adept AI Labs #243,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005392Z
Character.ai Labs #244,Character.ai Labs #244,0.75,Normalized Capitalization,2026-08-16T15:06:54.005413Z
"Together AI, Inc. Labs #245",Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005431Z
Anyscale Labs #246,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005446Z
Inflection AI PBC Labs #247,Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005463Z
Pinecone Labs #248,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005485Z
Weaviate Labs #249,Weaviate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005502Z
Qdrant Labs #250,Qdrant,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005518Z
Chroma Labs #251,Chroma,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005533Z
"LangChain, Inc. Labs #252",LangChain,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005552Z
LLAMAINDEX AI Labs #253,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005571Z
Weights & Biases Labs #254,Weights & Biases Labs #254,0.75,Normalized Capitalization,2026-08-16T15:06:54.005594Z
Replicate Labs #255,Replicate,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005611Z
EleutherAI Labs #256,EleutherAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005630Z
Groq Labs #257,Groq,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005650Z
SambaNova Labs #258,SambaNova,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005667Z
"Cerebras Systems, Inc. Labs #259",Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005692Z
Etched PBC Labs #260,Etched,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005711Z
Cognition AI Labs #261,Cognition AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005730Z
Harvey AI Labs #262,Harvey AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005749Z
Synthesia Labs #263,Synthesia,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005767Z
ELEVENLABS AI Labs #264,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005790Z
OpenAI Labs #265,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005804Z
"Anthropic, Inc. Labs #266",Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005819Z
Cohere Labs #267,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005833Z
Mistral AI Labs #268,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005847Z
Stability AI Labs #269,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005862Z
Hugging Face Labs #270,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005881Z
Midjourney Labs #271,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.005895Z
