schemaVersion,recordType,content.company,content.title,content.date,content.is_remote,content.role_family,collectedAt
1.0,JOB,Harvey AI,Senior Synthetic Data Engineer,2026-08-15T16:06:53.999699+00:00,False,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Synthesia,Machine Learning Compiler Engineer,2026-08-16T09:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,ElevenLabs,Foundational Model Trainer,2026-08-15T21:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,OpenAI,Senior AI Infrastructure Engineer,2026-08-16T04:06:53.999699+00:00,False,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Anthropic,Staff LLM Alignment Researcher,2026-08-16T01:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Cohere,Distributed Systems Engineer (GPU Cluster),2026-08-15T17:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Mistral AI,Senior Inference Optimization Engineer,2026-08-16T05:06:53.999699+00:00,False,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Stability AI,Lead Data Pipelines Architect,2026-08-15T22:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Hugging Face,Generative AI Solutions Architect,2026-08-16T05:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Midjourney,Research Scientist - Computer Vision,2026-08-16T11:06:53.999699+00:00,False,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Runway,Quantization & CUDA Engineer,2026-08-16T09:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Scale AI,AI Safety & Governance Lead,2026-08-15T20:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Perplexity AI,Senior Synthetic Data Engineer,2026-08-16T09:06:53.999699+00:00,False,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Glean,Machine Learning Compiler Engineer,2026-08-16T10:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Adept AI,Foundational Model Trainer,2026-08-16T13:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Character.ai,Senior AI Infrastructure Engineer,2026-08-16T14:06:53.999699+00:00,False,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Together AI,Staff LLM Alignment Researcher,2026-08-16T11:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Anyscale,Distributed Systems Engineer (GPU Cluster),2026-08-15T16:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Inflection AI,Senior Inference Optimization Engineer,2026-08-15T19:06:53.999699+00:00,False,Research & AI,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Pinecone,Lead Data Pipelines Architect,2026-08-16T10:06:53.999699+00:00,True,Engineering,2026-08-16T15:06:53.999699+00:00
1.0,JOB,Weaviate,Generative AI Solutions Architect,2026-08-15T17:06:53.999699+00:00,True,Research & AI,2026-08-16T15:06:53.999699+00:00
