schemaVersion,recordType,source.name,source.url,content.productName,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://synthesia.io/products/32,AI Avatars v4,Synthesia,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://elevenlabs.io/products/33,Conversational AI,ElevenLabs,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/34,Whisper,OpenAI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/35,Claude Enterprise,Anthropic,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cohere.com/products/36,Cohere Toolkit,Cohere,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://mistral.ai/products/37,Codestral,Mistral AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://stability.ai/products/38,Stable Audio 2,Stability AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://huggingface.co/products/39,Datasets,Hugging Face,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://midjourney.com/products/40,Midjourney v6,Midjourney,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://runwayml.com/products/41,Gen-3 Alpha,Runway,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://scale.com/products/42,Scale GenAI Platform,Scale AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://perplexity.ai/products/43,Perplexity Pro,Perplexity AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://glean.com/products/44,Glean Assistant,Glean,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://adept.ai/products/45,ACT-1 Agent,Adept AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://character.ai/products/46,Character c.ai,Character.ai,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://together.ai/products/47,Together Fine-Tuning,Together AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anyscale.com/products/48,Anyscale Endpoints,Anyscale,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://inflection.ai/products/49,Pi 2.0 Assistant,Inflection AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://pinecone.io/products/50,Vector Database Engine,Pinecone,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://weaviate.io/products/51,Weaviate Cloud,Weaviate,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://qdrant.tech/products/52,Vector Search API,Qdrant,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://trychroma.com/products/53,Chroma DB Open Source,Chroma,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://langchain.com/products/54,LangSmith Platform,LangChain,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://llamaindex.ai/products/55,LlamaCloud,LlamaIndex,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://wandb.ai/products/56,W&B Prompts,Weights & Biases,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://replicate.com/products/57,Replicate Cloud Inference,Replicate,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://eleuther.ai/products/58,GPT-NeoX,EleutherAI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://groq.com/products/59,GroqLPU Inference Engine,Groq,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://sambanova.ai/products/60,Samba-1 Suite,SambaNova,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cerebras.ai/products/61,Cerebras CS-3,Cerebras Systems,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://etched.com/products/62,Etched SDK,Etched,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cognition-labs.com/products/63,Devin AI Software Engineer,Cognition AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://harvey.ai/products/64,Harvey Vault,Harvey AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://synthesia.io/products/65,Synthesia Video Studio,Synthesia,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://elevenlabs.io/products/66,Conversational AI,ElevenLabs,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/67,ChatGPT,OpenAI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/68,Constitutional AI,Anthropic,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cohere.com/products/69,Command R+,Cohere,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://mistral.ai/products/70,Mistral NeMo,Mistral AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://stability.ai/products/71,Stable Video Diffusion,Stability AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://huggingface.co/products/72,Transformers,Hugging Face,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://midjourney.com/products/73,Midjourney v6,Midjourney,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://runwayml.com/products/74,Gen-2,Runway,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://scale.com/products/75,Scale GenAI Platform,Scale AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://perplexity.ai/products/76,Perplexity Pro,Perplexity AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://glean.com/products/77,Glean Assistant,Glean,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://adept.ai/products/78,Adept Workstation v3.0,Adept AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://character.ai/products/79,Character c.ai,Character.ai,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://together.ai/products/80,Together Fine-Tuning,Together AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anyscale.com/products/81,Anyscale Ray Platform v3.0,Anyscale,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://inflection.ai/products/82,Inflection Engine v3.0,Inflection AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://pinecone.io/products/83,Pinecone Serverless v3.0,Pinecone,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://weaviate.io/products/84,Hybrid Search Engine v3.0,Weaviate,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://qdrant.tech/products/85,Qdrant Managed Cloud v3.0,Qdrant,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://trychroma.com/products/86,Chroma Cloud v3.0,Chroma,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://langchain.com/products/87,LangSmith Platform,LangChain,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://llamaindex.ai/products/88,LlamaCloud,LlamaIndex,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://wandb.ai/products/89,W&B Prompts,Weights & Biases,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://replicate.com/products/90,Replicate Model Registry v4.0,Replicate,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://eleuther.ai/products/91,GPT-NeoX,EleutherAI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://groq.com/products/92,GroqCloud API v4.0,Groq,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://sambanova.ai/products/93,SambaNova SN40L Chip v4.0,SambaNova,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cerebras.ai/products/94,Wafer-Scale Engine 3 v4.0,Cerebras Systems,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://etched.com/products/95,Sohu Transformer ASIC v4.0,Etched,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cognition-labs.com/products/96,Devin Enterprise v4.0,Cognition AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://harvey.ai/products/97,Harvey Legal AI v4.0,Harvey AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://synthesia.io/products/98,AI Avatars v4 v4.0,Synthesia,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://elevenlabs.io/products/99,Conversational AI,ElevenLabs,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/100,Whisper,OpenAI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/101,Claude 3.5 Sonnet,Anthropic,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cohere.com/products/102,Embed v3,Cohere,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://mistral.ai/products/103,Pixtral,Mistral AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://stability.ai/products/104,Stable LM,Stability AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://huggingface.co/products/105,AutoTrain,Hugging Face,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://midjourney.com/products/106,Midjourney v6 v4.0,Midjourney,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://runwayml.com/products/107,Motion Brush,Runway,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://scale.com/products/108,Scale GenAI Platform v4.0,Scale AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://perplexity.ai/products/109,Perplexity Pro v4.0,Perplexity AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://glean.com/products/110,Glean Assistant v4.0,Glean,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://adept.ai/products/111,ACT-1 Agent v4.0,Adept AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://character.ai/products/112,Character c.ai v4.0,Character.ai,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://together.ai/products/113,Together Fine-Tuning v4.0,Together AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anyscale.com/products/114,Anyscale Endpoints v4.0,Anyscale,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://inflection.ai/products/115,Pi 2.0 Assistant v4.0,Inflection AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://pinecone.io/products/116,Vector Database Engine v4.0,Pinecone,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://weaviate.io/products/117,Weaviate Cloud v4.0,Weaviate,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://qdrant.tech/products/118,Vector Search API v4.0,Qdrant,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://trychroma.com/products/119,Chroma DB Open Source v4.0,Chroma,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://langchain.com/products/120,LangSmith Platform v5.0,LangChain,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://llamaindex.ai/products/121,LlamaCloud v5.0,LlamaIndex,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://wandb.ai/products/122,W&B Prompts v5.0,Weights & Biases,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://replicate.com/products/123,Replicate Cloud Inference v5.0,Replicate,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://eleuther.ai/products/124,GPT-NeoX v5.0,EleutherAI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://groq.com/products/125,GroqLPU Inference Engine v5.0,Groq,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://sambanova.ai/products/126,Samba-1 Suite v5.0,SambaNova,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cerebras.ai/products/127,Cerebras CS-3 v5.0,Cerebras Systems,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://etched.com/products/128,Etched SDK v5.0,Etched,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cognition-labs.com/products/129,Devin AI Software Engineer v5.0,Cognition AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://harvey.ai/products/130,Harvey Vault v5.0,Harvey AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://synthesia.io/products/131,Synthesia Video Studio v5.0,Synthesia,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://elevenlabs.io/products/132,Conversational AI v5.0,ElevenLabs,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/133,ChatGPT,OpenAI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/134,Claude 3 Opus v5.0,Anthropic,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cohere.com/products/135,Rerank v5.0,Cohere,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://mistral.ai/products/136,Mistral Large 2,Mistral AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://stability.ai/products/137,Stable Diffusion 3 v5.0,Stability AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://huggingface.co/products/138,Diffusers,Hugging Face,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://midjourney.com/products/139,Midjourney v6 v5.0,Midjourney,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://runwayml.com/products/140,Frame Interpolation v5.0,Runway,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://scale.com/products/141,Scale GenAI Platform v5.0,Scale AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://perplexity.ai/products/142,Perplexity Pro v5.0,Perplexity AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://glean.com/products/143,Glean Assistant v5.0,Glean,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://adept.ai/products/144,Adept Workstation v5.0,Adept AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://character.ai/products/145,Character c.ai v5.0,Character.ai,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://together.ai/products/146,Together Fine-Tuning v5.0,Together AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anyscale.com/products/147,Anyscale Ray Platform v5.0,Anyscale,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://inflection.ai/products/148,Inflection Engine v5.0,Inflection AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://pinecone.io/products/149,Pinecone Serverless v5.0,Pinecone,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://weaviate.io/products/150,Hybrid Search Engine v6.0,Weaviate,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://qdrant.tech/products/151,Qdrant Managed Cloud v6.0,Qdrant,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://trychroma.com/products/152,Chroma Cloud v6.0,Chroma,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://langchain.com/products/153,LangSmith Platform v6.0,LangChain,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://llamaindex.ai/products/154,LlamaCloud v6.0,LlamaIndex,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://wandb.ai/products/155,W&B Prompts v6.0,Weights & Biases,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://replicate.com/products/156,Replicate Model Registry v6.0,Replicate,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://eleuther.ai/products/157,GPT-NeoX v6.0,EleutherAI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://groq.com/products/158,GroqCloud API v6.0,Groq,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://sambanova.ai/products/159,SambaNova SN40L Chip v6.0,SambaNova,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cerebras.ai/products/160,Wafer-Scale Engine 3 v6.0,Cerebras Systems,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://etched.com/products/161,Sohu Transformer ASIC v6.0,Etched,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cognition-labs.com/products/162,Devin Enterprise v6.0,Cognition AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://harvey.ai/products/163,Harvey Legal AI v6.0,Harvey AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://synthesia.io/products/164,AI Avatars v4 v6.0,Synthesia,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://elevenlabs.io/products/165,Conversational AI v6.0,ElevenLabs,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/166,Whisper,OpenAI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/167,Claude Enterprise v6.0,Anthropic,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
